"Top","Arriba"
"Bottom","Parte inferior"
"Top left","Arriba a la izquierda"
"Top right","Arriba a la derecha"
"Bottom left","Abajo a la izquierda"
"Bottom right","Abajo a la derecha"
"Center","Centro"
"Auto","Auto"
"Open Sans","Abierto sin"
"Lato","Lato"
"Old Standard TT","TT estándar antiguo"
"Abril Fatface","Abril Fatface"
"PT Serif","PT Serif"
"Ubuntu","Ubuntu"
"Vollkorn","Vollkorn"
"Small","Pequeño"
"Medium","Medio"
"Large","Grande"
"Default message","Mensaje predeterminado"
"Custom message","Mensaje personalizado"
"Same Window","Misma ventana"
"New Window","Nueva ventana"
"Left","Izquierda"
"Right","Derecho"
"Bar","Bar"
"Popup","Popup"
"Cookies and Privacy","Cookies y privacidad"
"This website use cookies to ensure you get the best user experience on our website.","Al utilizar este sitio web, aceptas las cookies que usamos para ofrecer y mejorar nuestros servicios."
"Accept","Aceptar"
"Decline","Declinar"
"Read our Privacy Policy","Ver más"
"Cookie Notice","Aviso de cookies"
"Configuration","Configuracion"
"Enable / Disable","Habilitar / deshabilitar"
"Notice Display Type","Aviso de tipo de pantalla"
"Bar position","Posición de la barra"
"Box position","Posición de la caja"
"Accept Cookie OnScroll","Aceptar Cookie OnScroll"
"When User closes The Notice","Cuando el usuario cierra el aviso"
"Autohide Cookie Notice After (in seconds)","Aviso de cookie de ocultación automática después (en segundos)"
"Accept cookies automatically after X seconds","Aceptar cookies automáticamente después de X segundos"
"expire Cookie Agreement After (Days) *","expira el Acuerdo de cookies después de (días) *"
"Content Settings","Configuraciones de contenido"
"Notice Type","Tipo de aviso"
"Notice text","Texto de aviso"
"Container Title","Título del Contenedor"
"Accept Button text","Aceptar texto del botón"
"Deny Button text","Denegar texto del botón"
"Privacy Policy Button text","Política de privacidad Texto del botón"
"Privacy Policy Redirect Information Page","Política de privacidad Redirigir página de información"
"Open Tab In Window","Abrir pestaña en la ventana"
"Container Display Settings","Configuración de visualización de contenedores"
"Font Family","Familia de fuentes"
"Container Text Align","Alinear texto de contenedor"
"Container Title Text Size","Tamaño del texto del título del contenedor"
"Container Message Text Size","Tamaño del texto del mensaje del contenedor"
"Container Border","Frontera del envase"
"Container Top Border","Borde superior del contenedor"
"Container Bottom Border","Borde Inferior del Contenedor"
"Container Bottom Border Color","Color del borde inferior del contenedor"
"Container Top Border Color","Color del borde superior del contenedor"
"Container Background Color","Color de fondo del contenedor"
"Container Message Font Color","Color de fuente del mensaje del contenedor"
"Accept Button Background Color","Aceptar color de fondo del botón"
"Close Button Background Color","Color de fondo del botón de cierre"
"Privacy Policy Background Color","Política de privacidad Color de fondo"
"Close Button Text Color","Color del texto del botón de cierre"
"Privacy Policy Text Color","Política de privacidad Color del texto"
"Accept Button Text Color","Aceptar color del texto del botón"
"Container Title Color","Color del título del contenedor"
